title,subtitle,author,synopsis,title_type,mission
#481 Reclaiming Lost Hours,By Making Everything (!) Our Practice,,"Before we bid farewell to George Leonard, how about ONE more little idea from the Aikido (and life) master? This might be the most important",+1s,Parenting
#601 The Mystery of the Hairy Fingers,You’ll Laugh About It in 5 Years So Why Wait?,,One of my challenges as I step up my athletic game is finding the time to train as I have some very tight time constraints on how much time,+1s,Parenting
#606 Parenting: 3 Tips,Lessons on How to Be a Great Dad,,"At the end of my recent talk I keep on talking about 😉, one of the CEOs came up and asked me how to apply the wisdom I shared to his",+1s,Parenting
#716 Leonidas + Little Leo,The (Johnson) Optimizing Game,,"Not too long ago, I introduced you to Leonidas—my Spartan sweatband. Yes, I realize it’s ridiculous that I wear this all day every day.",+1s,Parenting
#869 I Like You,Just the Way You Are,,"After watching that Mister Rogers documentary I keep talking about (this one), we got a bunch of his books. One of them is a recently",+1s,Parenting
#889 Are You Intexticated?,A Friendly Optimizing PSA,,The other day Grandma and Grandpa visited to hang out with the E’s. We had a nice time. 😍 As we were walking to give them a tour of the,+1s,Parenting
#892 Stoic Shipwrecks,And Kids at the Park Biting You,,"In our last +1, we had fun reflecting on a new ritual Emerson and I are having fun with. It’s been super fun to reflect on ancient Stoic",+1s,Parenting
#921 Cool- (+Kid-)ifying Investing,Rather than Spending Every Dollar We Have,,"Not too long ago, we started giving Emerson $10 every week. It was Alexandra’s idea to start giving him some money that he could use as he",+1s,Parenting
#922 Compounding Cash (for Kids),The Magic of Money Multiplying,,"In our last +1, we talked about how I’m attempting to make the idea of saving and investing money much cooler than constantly spending",+1s,Parenting
#1048 “I Found Something!”,"The ""I Love You” Game",,"As we’ve discussed many times, one of my absolute favorite things to do in life is curl up in bed next to Emerson and read together.",+1s,Parenting
#1057 Exploding Fist Bumps of Love,🤜💥🤛 → 🤟 💥 🤟,,This morning I was wrapping up yet another AM1 Deep Work session when I heard the tap-tap-tap little knock on the office door. I smiled.,+1s,Parenting
#1080 How You React,Small Things vs. Dramatic Things,,"In our last couple +1s, we flipped through my notes from session number 150-something with my Yoda/spiritual Godfather Phil Stutz. On page",+1s,Parenting
#1081 How We All Spell Love,T.I.M.E.,,"In our last +1, we wrapped up the tour of my notes from a recent chat with Phil. We added these three Phil-orisms to our collection:",+1s,Parenting
#1085 Relationship Bid Math,How's Yours?,,"In our last +1, we talked about being Efficient vs. Effective. Efficiency? It’s GREAT for managing our time and completing tasks. Not so",+1s,Parenting
#1086 Bid Math Part 2,Addition by Subtraction,,"In our last +1, we hung out with Jon Gottman and learned that successful marriages feature partners responding to one another’s bids. (Did",+1s,Parenting
#1087 Kid Bid Algorithms,Our Ticket to Mom or Dad of the Year Ceremonies,,"In our last couple +1s, we’ve been talking about Jon Gottman and his wisdom on how to make a marriage work. We’ve been focused on one",+1s,Parenting
#1140 How to Say “I Love You”,In Squeezy-eze,,"A little over seven and half years ago, Emerson was born at home. We had an amazing midwife (named Mary Jackson) for both Emerson and",+1s,Parenting
#1144 Balloon Breathing,For Kids (and Their Parents),,"In our last +1, we practiced some virtue mastery via our new (and always-evolving) Virtuegong practice. How about a super-quick practice",+1s,Parenting
#1145 Hero Breathing,For Kids (and Their Parents),,"In our last +1, we blew up some belly balloons with our kids. We breathed in through our noses, down into our bellies (can you make that",+1s,Parenting
#1178 Sugar Math,It Adds Up. Fast!,,"In our last +1, we did some detective work and discovered that sugar is often disguised with 61 different names. Note: The one name that the",+1s,Parenting
#1258 The Cleanup Game,How to Drop Into Flow (-> Bored to Awesome),,"Big news at the Johnson house: We recently got a new robot vacuum cleaner. (Hah.) Given the 18,000+ reviews on the one we wound up getting,",+1s,Parenting
#1260 Your Stinkin’ Thinkin’,"Chickens, Poop, and Neutral Thinking",,"In our last +1, we spent some more time with Trevor Moawad and explored some more wisdom from his great book, It Takes What It Takes. As you",+1s,Parenting
#1261 The Flat Tire,And the Ultimate Question: What Do You Want?,,"In our last couple +1s, we’ve been chatting about Trevor Moawad’s wisdom on what he calls “neutral thinking.” We started by hanging",+1s,Parenting
#1270 Spray Painting Leaves,Wise Gardening for Mind Body and Soul,,"In our last +1, we hung out with some scientists and doctors who decided to test whether or not FOOD prescriptions would be more",+1s,Parenting
Public Speaking 101,How to express yourself confidently when you’re talking with more than a few people,,"We’ve had a lot of people ask for a class on Public Speaking. It tends to freak a lot of people out which is why Idea #1 features Jerry Seinfeld’s quip that most people are so afraid of public speaking that they’d prefer to *receive* a eulogy than give one. (Hah.) Alas, if you have any fears over speaking in public, you’re not alone. Enter: Common humanity. And, enter my own stories about my fears and my favorite ways to alchemize that energy. (“I’m excited!” + “Bring it on!” + threat vs. challenge, etc.) Other Ideas include Rule #0 (aka, it’s not about you), Rule #1 (aka BE you—amplified!), systematically organize (and overprepare!), plus Optimizing your pre-shot routine before letting it rip! 🙂",101 Classes,Public Speaking
"How to Talk to Anyone, Anytime, Anywhere",The Secrets of Good Communication,Larry King,"Larry King is, of course, a LEGEND. Do you know how many people he’s interviewed over his 50+ year (!!) career? 50,000. And counting. I got this book after Larry and James Pawelski interviewed me for their Positive Voices interview series. Larry wrote this book 25 years ago—37 years into his career. It’s a great introduction to his thoughts on “The Secrets of Good Communication” in every situation—from dinner parties to public speaking. And, it’s a great autobiographical sketch of his own career as “the most remarkable talkshow host on TV ever.” Big Ideas we explore include Talk 101 (remember: effort counts twice!), Day 1 (meet Larry Zeiger), The First Rule (= Listen!!), what to do when you make mistakes (keep on going!), and the power of enthusiasm (it's the engine of success).",PhilosophersNotes,Public Speaking
How to Develop Self-Confidence & Influence People by Public Speaking,,Dale Carnegie,"Before Dale Carnegie wrote How to Win Friends and Influence People, he wrote this book. In fact, back in the day, one of the things Carnegie was best known for was his ability to help people develop their leadership skills by becoming great speakers. This book is a distillation of the training manuals from his classes. As with How to Win Friends and How to Stop Worrying and Start Living, this book is quick-reading, super-practical, and entertaining (especially if you get a kick out of the early 20th century style like I do). Big Ideas we explore include: The Big 4 of Optimizing your speaking, the importance of “reserve power,” the secret to good delivery, your most precious asset as a speaker, how to gesture and the importance of magnetic vitality.",PhilosophersNotes,Public Speaking
